,,,Totaux :,138.82,303.70
Date,Type,Catégorie,Libellé,Poids_kg,Prix_€,Paiement,Notes,,,,,,,,,,,,,,,,,,Vente,Espèces,Textile
17/09/25,Vente,Déco,Déco,0.13,5.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,Don,Chèque,Vaisselle
17/09/25,Vente,Divers,Chien bloc-porte,1.50,3.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,Recyclage,Gratuit,Livres
17/09/25,Vente,Divers,Sac,0.17,5.00,Espèces,prix non noté (cahier p.1),,,,,,,,,,,,,,,,,,,CB,Jeux
17/09/25,Vente,Textile,Chaussures,0.38,5.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,Déco
18/09/25,Vente,Électroménager,Friteuse,2.50,10.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,Meubles
18/09/25,Vente,Électronique/Audio,Clavier musique,0.56,5.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,Électroménager
19/09/25,Don,Santé,Pharmacie (x2),8.00,0.00,Gratuit,poids à confirmer (cahier p.1),,,,,,,,,,,,,,,,,,,,Électronique/Audio
19/09/25,Don,Divers,rgt bois,7.00,0.00,Gratuit,libellé illisible (cahier p.1),,,,,,,,,,,,,,,,,,,,Informatique
19/09/25,Don,Divers,Tapis sport,0.25,2.00,Espèces,libellé incertain (cahier p.1),,,,,,,,,,,,,,,,,,,,Outillage/Bricolage
20/09/25,Don,Textile,T-shirt/short enfant,0.05,0.00,Gratuit,cahier p.1,,,,,,,,,,,,,,,,,,,,Sport/Loisir
20/09/25,Vente,Livres,Livre,0.90,1.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,Vélos/EDPM
20/09/25,Vente,Jeux,Jeu,0.34,3.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,Santé
20/09/25,Don,Textile,Vêtements enfant (lot),0.20,0.00,Gratuit,cahier p.1,,,,,,,,,,,,,,,,,,,,Divers
20/09/25,Vente,Meubles,Chaise enfant,1.20,5.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,
20/09/25,Vente,Électroménager,Cocotte,2.50,8.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,
20/09/25,Vente,Textile,Chemise,0.07,2.00,Espèces,cahier p.1,,,,,,,,,,,,,,,,,,,,
,Vente,Divers,Clavier + anti-peluche,0.80,8.00,Espèces,date à confirmer (cahier p.1),,,,,,,,,,,,,,,,,,,,
,Don,Électroménager,Sèche-salade métal,0.02,0.00,Gratuit,poids à vérifier (20 g),,,,,,,,,,,,,,,,,,,,
,Vente,Électroménager,Micro-ondes,1.50,15.00,Espèces,date à confirmer (cahier p.1),,,,,,,,,,,,,,,,,,,,
,Vente,Vaisselle,Vaisselle (lot),1.20,3.00,Espèces,date à confirmer (cahier p.1),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Livres      , Livre             ,0.09,2.00, Espèces  , cahier p.1 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Livres      , Livre             ,0.02,1.00, Espèces  , cahier p.1 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Divers      , Socle             ,1.83,30.00, Espèces  , cahier p.1 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Déco        , Miroir            ,6.00,10.00, Espèces  , cahier p.1 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Livres      , BD (x15)          ,5.00,15.00, Espèces  , cahier p.1 ,,,,,,,,,,,,,,,,,,,,
